input,gemini_output,final_output,status
2000-06-02,,2000-06-03,FINAL_ONLY
2099-06-02,,2099-06-03,FINAL_ONLY
2100-06-02,,2100-06-03,FINAL_ONLY
1900-11-02,,1900-11-03,FINAL_ONLY
1901-11-02,,1901-11-03,FINAL_ONLY
2000-11-02,,2000-11-03,FINAL_ONLY
2099-11-02,,2099-11-03,FINAL_ONLY
2100-11-02,,2100-11-03,FINAL_ONLY
1900-12-02,,1900-12-03,FINAL_ONLY
1901-12-02,,1901-12-03,FINAL_ONLY
2000-12-02,,2000-12-03,FINAL_ONLY
2099-12-02,,2099-12-03,FINAL_ONLY
2100-12-02,,2100-12-03,FINAL_ONLY
1900-01-16,,1900-01-17,FINAL_ONLY
1901-01-16,,1901-01-17,FINAL_ONLY
2000-01-16,,2000-01-17,FINAL_ONLY
2099-01-16,,2099-01-17,FINAL_ONLY
2100-01-16,,2100-01-17,FINAL_ONLY
1900-02-16,,1900-02-17,FINAL_ONLY
1901-02-16,,1901-02-17,FINAL_ONLY
2000-02-16,,2000-02-17,FINAL_ONLY
2099-02-16,,2099-02-17,FINAL_ONLY
2100-02-16,,2100-02-17,FINAL_ONLY
1900-06-16,,1900-06-17,FINAL_ONLY
1901-06-16,,1901-06-17,FINAL_ONLY
2000-06-16,,2000-06-17,FINAL_ONLY
2099-06-16,,2099-06-17,FINAL_ONLY
2100-06-16,,2100-06-17,FINAL_ONLY
1900-11-16,,1900-11-17,FINAL_ONLY
1901-11-16,,1901-11-17,FINAL_ONLY
2000-11-16,,2000-11-17,FINAL_ONLY
2099-11-16,,2099-11-17,FINAL_ONLY
2100-11-16,,2100-11-17,FINAL_ONLY
1900-12-16,,1900-12-17,FINAL_ONLY
1901-12-16,,1901-12-17,FINAL_ONLY
2000-12-16,,2000-12-17,FINAL_ONLY
2099-12-16,,2099-12-17,FINAL_ONLY
2100-12-16,,2100-12-17,FINAL_ONLY
1900-01-30,,1900-01-31,FINAL_ONLY
1901-01-30,,1901-01-31,FINAL_ONLY
2000-01-30,,2000-01-31,FINAL_ONLY
2099-01-30,,2099-01-31,FINAL_ONLY
2100-01-30,,2100-01-31,FINAL_ONLY
1900-02-30,,Invalid Date,FINAL_ONLY
1901-02-30,,Invalid Date,FINAL_ONLY
2000-02-30,,Invalid Date,FINAL_ONLY
2099-02-30,,Invalid Date,FINAL_ONLY
2100-02-30,,Invalid Date,FINAL_ONLY
1900-06-30,,1900-07-01,FINAL_ONLY
1901-06-30,,1901-07-01,FINAL_ONLY
2000-06-30,,2000-07-01,FINAL_ONLY
2099-06-30,,2099-07-01,FINAL_ONLY
2100-06-30,,2100-07-01,FINAL_ONLY
1900-11-30,,1900-12-01,FINAL_ONLY
1901-11-30,,1901-12-01,FINAL_ONLY
2000-11-30,,2000-12-01,FINAL_ONLY
2099-11-30,,2099-12-01,FINAL_ONLY
2100-11-30,,2100-12-01,FINAL_ONLY
1900-12-30,,1900-12-31,FINAL_ONLY
1901-12-30,,1901-12-31,FINAL_ONLY
2000-12-30,,2000-12-31,FINAL_ONLY
2099-12-30,,2099-12-31,FINAL_ONLY
2100-12-30,,2100-12-31,FINAL_ONLY
1901-01-31,,1901-02-01,FINAL_ONLY
2000-01-31,,2000-02-01,FINAL_ONLY
2099-01-31,,2099-02-01,FINAL_ONLY
2100-01-31,,2100-02-01,FINAL_ONLY
1900-02-31,,Invalid Date,FINAL_ONLY
1901-02-31,,Invalid Date,FINAL_ONLY
2000-02-31,,Invalid Date,FINAL_ONLY
2099-02-31,,Invalid Date,FINAL_ONLY
2100-02-31,,Invalid Date,FINAL_ONLY
1900-06-31,,Invalid Date,FINAL_ONLY
1901-06-31,,Invalid Date,FINAL_ONLY
2000-06-31,,Invalid Date,FINAL_ONLY
2099-06-31,,Invalid Date,FINAL_ONLY
2100-06-31,,Invalid Date,FINAL_ONLY
1900-11-31,,Invalid Date,FINAL_ONLY
1901-11-31,,Invalid Date,FINAL_ONLY
2000-11-31,,Invalid Date,FINAL_ONLY
2099-11-31,,Invalid Date,FINAL_ONLY
2100-11-31,,Invalid Date,FINAL_ONLY
1900-12-31,,1901-01-01,FINAL_ONLY
1901-12-31,,1902-01-01,FINAL_ONLY
2000-12-31,,2001-01-01,FINAL_ONLY
2099-12-31,,2100-01-01,FINAL_ONLY
2100-12-31,,2101-01-01,FINAL_ONLY
1899-00-00,,Invalid Date,FINAL_ONLY
1900-00-00,,Invalid Date,FINAL_ONLY
1901-00-00,,Invalid Date,FINAL_ONLY
2000-00-00,,Invalid Date,FINAL_ONLY
2099-00-00,,Invalid Date,FINAL_ONLY
2100-00-00,,Invalid Date,FINAL_ONLY
2101-00-00,,Invalid Date,FINAL_ONLY
1899-01-00,,Invalid Date,FINAL_ONLY
1900-01-00,,Invalid Date,FINAL_ONLY
1901-01-00,,Invalid Date,FINAL_ONLY
2000-01-00,,Invalid Date,FINAL_ONLY
2099-01-00,,Invalid Date,FINAL_ONLY
2100-01-00,,Invalid Date,FINAL_ONLY
2101-01-00,,Invalid Date,FINAL_ONLY
1899-02-00,,Invalid Date,FINAL_ONLY
1900-02-00,,Invalid Date,FINAL_ONLY
1901-02-00,,Invalid Date,FINAL_ONLY
2000-02-00,,Invalid Date,FINAL_ONLY
2099-02-00,,Invalid Date,FINAL_ONLY
2100-02-00,,Invalid Date,FINAL_ONLY
2101-02-00,,Invalid Date,FINAL_ONLY
1899-06-00,,Invalid Date,FINAL_ONLY
1900-06-00,,Invalid Date,FINAL_ONLY
1901-06-00,,Invalid Date,FINAL_ONLY
2000-06-00,,Invalid Date,FINAL_ONLY
2099-06-00,,Invalid Date,FINAL_ONLY
2100-06-00,,Invalid Date,FINAL_ONLY
2101-06-00,,Invalid Date,FINAL_ONLY
1899-11-00,,Invalid Date,FINAL_ONLY
1900-11-00,,Invalid Date,FINAL_ONLY
1901-11-00,,Invalid Date,FINAL_ONLY
2000-11-00,,Invalid Date,FINAL_ONLY
2099-11-00,,Invalid Date,FINAL_ONLY
2100-11-00,,Invalid Date,FINAL_ONLY
2101-11-00,,Invalid Date,FINAL_ONLY
1899-12-00,,Invalid Date,FINAL_ONLY
1900-12-00,,Invalid Date,FINAL_ONLY
1901-12-00,,Invalid Date,FINAL_ONLY
2000-12-00,,Invalid Date,FINAL_ONLY
2099-12-00,,Invalid Date,FINAL_ONLY
2100-12-00,,Invalid Date,FINAL_ONLY
2101-12-00,,Invalid Date,FINAL_ONLY
1899-13-00,,Invalid Date,FINAL_ONLY
1900-13-00,,Invalid Date,FINAL_ONLY
1901-13-00,,Invalid Date,FINAL_ONLY
2000-13-00,,Invalid Date,FINAL_ONLY
2099-13-00,,Invalid Date,FINAL_ONLY
2100-13-00,,Invalid Date,FINAL_ONLY
2101-13-00,,Invalid Date,FINAL_ONLY
1899-00-01,,Invalid Date,FINAL_ONLY
1900-00-01,,Invalid Date,FINAL_ONLY
1901-00-01,,Invalid Date,FINAL_ONLY
2000-00-01,,Invalid Date,FINAL_ONLY
2099-00-01,,Invalid Date,FINAL_ONLY
2100-00-01,,Invalid Date,FINAL_ONLY
2101-00-01,,Invalid Date,FINAL_ONLY
1899-01-01,,1899-01-02,FINAL_ONLY
2101-01-01,,2101-01-02,FINAL_ONLY
1899-02-01,,1899-02-02,FINAL_ONLY
2101-02-01,,2101-02-02,FINAL_ONLY
1899-06-01,,1899-06-02,FINAL_ONLY
2101-06-01,,2101-06-02,FINAL_ONLY
1899-11-01,,1899-11-02,FINAL_ONLY
2101-11-01,,2101-11-02,FINAL_ONLY
1899-12-01,,1899-12-02,FINAL_ONLY
2101-12-01,,2101-12-02,FINAL_ONLY
1899-13-01,,Invalid Date,FINAL_ONLY
1900-13-01,,Invalid Date,FINAL_ONLY
1901-13-01,,Invalid Date,FINAL_ONLY
2000-13-01,,Invalid Date,FINAL_ONLY
2099-13-01,,Invalid Date,FINAL_ONLY
2100-13-01,,Invalid Date,FINAL_ONLY
2101-13-01,,Invalid Date,FINAL_ONLY
1899-00-02,,Invalid Date,FINAL_ONLY
1900-00-02,,Invalid Date,FINAL_ONLY
1901-00-02,,Invalid Date,FINAL_ONLY
2000-00-02,,Invalid Date,FINAL_ONLY
2099-00-02,,Invalid Date,FINAL_ONLY
2100-00-02,,Invalid Date,FINAL_ONLY
2101-00-02,,Invalid Date,FINAL_ONLY
1899-01-02,,1899-01-03,FINAL_ONLY
2101-01-02,,2101-01-03,FINAL_ONLY
1899-02-02,,1899-02-03,FINAL_ONLY
2101-02-02,,2101-02-03,FINAL_ONLY
1899-06-02,,1899-06-03,FINAL_ONLY
2101-06-02,,2101-06-03,FINAL_ONLY
1899-11-02,,1899-11-03,FINAL_ONLY
2101-11-02,,2101-11-03,FINAL_ONLY
1899-12-02,,1899-12-03,FINAL_ONLY
2101-12-02,,2101-12-03,FINAL_ONLY
1899-13-02,,Invalid Date,FINAL_ONLY
1900-13-02,,Invalid Date,FINAL_ONLY
1901-13-02,,Invalid Date,FINAL_ONLY
2000-13-02,,Invalid Date,FINAL_ONLY
2099-13-02,,Invalid Date,FINAL_ONLY
2100-13-02,,Invalid Date,FINAL_ONLY
2101-13-02,,Invalid Date,FINAL_ONLY
1899-00-16,,Invalid Date,FINAL_ONLY
1900-00-16,,Invalid Date,FINAL_ONLY
1901-00-16,,Invalid Date,FINAL_ONLY
2000-00-16,,Invalid Date,FINAL_ONLY
2099-00-16,,Invalid Date,FINAL_ONLY
2100-00-16,,Invalid Date,FINAL_ONLY
2101-00-16,,Invalid Date,FINAL_ONLY
1899-01-16,,1899-01-17,FINAL_ONLY
2101-01-16,,2101-01-17,FINAL_ONLY
1899-02-16,,1899-02-17,FINAL_ONLY
2101-02-16,,2101-02-17,FINAL_ONLY
1899-06-16,,1899-06-17,FINAL_ONLY
2101-06-16,,2101-06-17,FINAL_ONLY
1899-11-16,,1899-11-17,FINAL_ONLY
2101-11-16,,2101-11-17,FINAL_ONLY
1899-12-16,,1899-12-17,FINAL_ONLY
2101-12-16,,2101-12-17,FINAL_ONLY
1899-13-16,,Invalid Date,FINAL_ONLY
1900-13-16,,Invalid Date,FINAL_ONLY
1901-13-16,,Invalid Date,FINAL_ONLY
2000-13-16,,Invalid Date,FINAL_ONLY
2099-13-16,,Invalid Date,FINAL_ONLY
2100-13-16,,Invalid Date,FINAL_ONLY
2101-13-16,,Invalid Date,FINAL_ONLY
1899-00-30,,Invalid Date,FINAL_ONLY
1900-00-30,,Invalid Date,FINAL_ONLY
1901-00-30,,Invalid Date,FINAL_ONLY
2000-00-30,,Invalid Date,FINAL_ONLY
2099-00-30,,Invalid Date,FINAL_ONLY
2100-00-30,,Invalid Date,FINAL_ONLY
2101-00-30,,Invalid Date,FINAL_ONLY
1899-01-30,,1899-01-31,FINAL_ONLY
2101-01-30,,2101-01-31,FINAL_ONLY
1899-02-30,,Invalid Date,FINAL_ONLY
2101-02-30,,Invalid Date,FINAL_ONLY
1899-06-30,,1899-07-01,FINAL_ONLY
2101-06-30,,2101-07-01,FINAL_ONLY
1899-11-30,,1899-12-01,FINAL_ONLY
2101-11-30,,2101-12-01,FINAL_ONLY
1899-12-30,,1899-12-31,FINAL_ONLY
2101-12-30,,2101-12-31,FINAL_ONLY
1899-13-30,,Invalid Date,FINAL_ONLY
1900-13-30,,Invalid Date,FINAL_ONLY
1901-13-30,,Invalid Date,FINAL_ONLY
2000-13-30,,Invalid Date,FINAL_ONLY
2099-13-30,,Invalid Date,FINAL_ONLY
2100-13-30,,Invalid Date,FINAL_ONLY
2101-13-30,,Invalid Date,FINAL_ONLY
1899-00-31,,Invalid Date,FINAL_ONLY
1900-00-31,,Invalid Date,FINAL_ONLY
1901-00-31,,Invalid Date,FINAL_ONLY
2000-00-31,,Invalid Date,FINAL_ONLY
2099-00-31,,Invalid Date,FINAL_ONLY
2100-00-31,,Invalid Date,FINAL_ONLY
2101-00-31,,Invalid Date,FINAL_ONLY
1899-01-31,,1899-02-01,FINAL_ONLY
2101-01-31,,2101-02-01,FINAL_ONLY
1899-02-31,,Invalid Date,FINAL_ONLY
2101-02-31,,Invalid Date,FINAL_ONLY
1899-06-31,,Invalid Date,FINAL_ONLY
2101-06-31,,Invalid Date,FINAL_ONLY
1899-11-31,,Invalid Date,FINAL_ONLY
2101-11-31,,Invalid Date,FINAL_ONLY
2101-12-31,,2102-01-01,FINAL_ONLY
1899-13-31,,Invalid Date,FINAL_ONLY
1900-13-31,,Invalid Date,FINAL_ONLY
1901-13-31,,Invalid Date,FINAL_ONLY
2000-13-31,,Invalid Date,FINAL_ONLY
2099-13-31,,Invalid Date,FINAL_ONLY
2100-13-31,,Invalid Date,FINAL_ONLY
2101-13-31,,Invalid Date,FINAL_ONLY
1899-00-32,,Invalid Date,FINAL_ONLY
1900-00-32,,Invalid Date,FINAL_ONLY
1901-00-32,,Invalid Date,FINAL_ONLY
2000-00-32,,Invalid Date,FINAL_ONLY
2099-00-32,,Invalid Date,FINAL_ONLY
2100-00-32,,Invalid Date,FINAL_ONLY
2101-00-32,,Invalid Date,FINAL_ONLY
1899-01-32,,Invalid Date,FINAL_ONLY
1900-01-32,,Invalid Date,FINAL_ONLY
1901-01-32,,Invalid Date,FINAL_ONLY
2000-01-32,,Invalid Date,FINAL_ONLY
2099-01-32,,Invalid Date,FINAL_ONLY
2100-01-32,,Invalid Date,FINAL_ONLY
2101-01-32,,Invalid Date,FINAL_ONLY
1899-02-32,,Invalid Date,FINAL_ONLY
1900-02-32,,Invalid Date,FINAL_ONLY
1901-02-32,,Invalid Date,FINAL_ONLY
2000-02-32,,Invalid Date,FINAL_ONLY
2099-02-32,,Invalid Date,FINAL_ONLY
2100-02-32,,Invalid Date,FINAL_ONLY
2101-02-32,,Invalid Date,FINAL_ONLY
1899-06-32,,Invalid Date,FINAL_ONLY
1900-06-32,,Invalid Date,FINAL_ONLY
1901-06-32,,Invalid Date,FINAL_ONLY
2000-06-32,,Invalid Date,FINAL_ONLY
2099-06-32,,Invalid Date,FINAL_ONLY
2100-06-32,,Invalid Date,FINAL_ONLY
2101-06-32,,Invalid Date,FINAL_ONLY
1899-11-32,,Invalid Date,FINAL_ONLY
1900-11-32,,Invalid Date,FINAL_ONLY
1901-11-32,,Invalid Date,FINAL_ONLY
2000-11-32,,Invalid Date,FINAL_ONLY
2099-11-32,,Invalid Date,FINAL_ONLY
2100-11-32,,Invalid Date,FINAL_ONLY
2101-11-32,,Invalid Date,FINAL_ONLY
1899-12-32,,Invalid Date,FINAL_ONLY
1900-12-32,,Invalid Date,FINAL_ONLY
1901-12-32,,Invalid Date,FINAL_ONLY
2000-12-32,,Invalid Date,FINAL_ONLY
2099-12-32,,Invalid Date,FINAL_ONLY
2100-12-32,,Invalid Date,FINAL_ONLY
2101-12-32,,Invalid Date,FINAL_ONLY
1899-13-32,,Invalid Date,FINAL_ONLY
1900-13-32,,Invalid Date,FINAL_ONLY
1901-13-32,,Invalid Date,FINAL_ONLY
2000-13-32,,Invalid Date,FINAL_ONLY
2099-13-32,,Invalid Date,FINAL_ONLY
2100-13-32,,Invalid Date,FINAL_ONLY
2101-13-32,,Invalid Date,FINAL_ONLY
